Outdoor Drybulb Temperature (C),Outdoor Relative Humidity (%),Diffuse Solar Radiation (W/m2),Direct Solar Radiation (W/m2),6h Outdoor Drybulb Temperature (C),12h Outdoor Drybulb Temperature (C),24h Outdoor Drybulb Temperature (C),6h Outdoor Relative Humidity (%),12h Outdoor Relative Humidity (%),24h Outdoor Relative Humidity (%),6h Diffuse Solar Radiation (W/m2),12h Diffuse Solar Radiation (W/m2),24h Diffuse Solar Radiation (W/m2),6h Direct Solar Radiation (W/m2),12h Direct Solar Radiation (W/m2),24h Direct Solar Radiation (W/m2)
8.9,96.01582439073512,0.0,0.0,8.434522980918615,12.62773350229618,9.51748644561072,100.64185008050195,83.88421192187185,94.88125402653424,0.0,166.7965597655221,0.0,0.0,484.2596977612821,0.0
8.3,96.65420374529243,0.0,0.0,4.410187028254461,12.885683072288378,9.12306890484767,101.75049233621894,82.12805232895762,94.28816706479031,4.078479736459614,157.88554178979103,0.0,23.097646888523634,491.43629340720213,0.0
8.3,100.0,0.0,0.0,8.969553128302863,13.318204907923084,7.333791489793862,101.75405439265924,84.42771330125434,100.8936106397419,48.53032421614793,130.1345970097879,0.0,157.82813964550323,470.7406496551816,0.0
7.2,100.0,0.0,0.0,10.001898457875027,13.68688621829452,7.540952062164194,100.9421806022563,80.4367196444811,94.08570516964136,96.25963439675222,90.63316302814707,0.0,348.62129652447294,385.90676600187413,0.0
6.95,100.0,0.0,0.0,10.610206274520005,12.220689816759704,7.325074402102784,89.94356345006659,88.95127695657858,99.2050599501665,127.72499603590781,40.56614251455308,0.0,465.82059205650205,192.31703219725065,0.0
6.7,100.0,0.0,0.0,11.13654804423238,11.714512592327772,7.45508005305001,86.55121432296562,87.14093437999536,102.85216603533755,142.76296736830136,0.0,0.0,550.0924046294167,0.0,0.0
8.33,100.0,0.0,0.0,12.209412550958127,10.737696037321715,8.498483823120678,80.75541774360902,93.51062091416287,92.83812132075829,168.44161549800214,0.0,0.0,487.21323352972627,0.0,0.0
4.4,100.0,4.0,23.0,12.819803529403194,10.750336172144213,9.705542886753125,80.87483806087596,90.63121981447979,94.74027447022192,155.9665408214329,0.0,3.622869680416921,490.75011498256123,0.0,16.58062591272895
8.89,100.0,48.5,154.0,13.112217975307383,10.722145482699682,10.207871537487678,84.22259963436551,91.90585762980274,88.81630626467214,126.99173668444539,0.0,51.337406266476926,475.76376628385924,0.0,138.78866609440962
10.0,100.0,96.0,341.0,13.384880600265049,8.58616427869683,12.275824478889362,81.14304183614094,99.1172323895192,87.45891744951984,89.33774894721778,0.0,113.39835133823432,386.55059151242705,0.0,229.39980075590773
